user_hash,created_at,action,gender,age_band,channel
U002285,2025-06-01T13:09:27Z,login,F,20s,app
U000048,2025-06-01T13:09:34Z,view,F,30s,app
U001688,2025-06-01T13:11:00Z,like,F,30s,app
U003949,2025-06-01T13:12:42Z,view,M,40s,web
U002475,2025-06-01T13:15:37Z,view,F,20s,web
U003956,2025-06-01T13:16:24Z,comment,M,20s,web
U003521,2025-06-01T13:19:06Z,comment,F,20s,web
U000369,2025-06-01T13:19:16Z,view,M,30s,web
U000079,2025-06-01T13:23:07Z,purchase,F,20s,app
U000563,2025-06-01T13:25:43Z,view,M,40s,app
U001432,2025-06-01T13:32:41Z,view,F,40s,app
U000304,2025-06-01T13:34:13Z,login,M,20s,app
U003480,2025-06-01T13:34:15Z,login,F,10s,app
U002169,2025-06-01T13:36:35Z,view,F,30s,web
U001376,2025-06-01T13:40:35Z,login,M,10s,web
U000337,2025-06-01T13:41:00Z,view,F,40s,app
U003094,2025-06-01T13:41:05Z,view,M,40s,web
U000893,2025-06-01T13:44:04Z,login,M,20s,web
U002345,2025-06-01T13:46:24Z,login,M,30s,app
U002322,2025-06-01T13:50:41Z,like,M,30s,web
U001801,2025-06-01T14:17:26Z,view,F,20s,app
U000890,2025-06-01T14:21:41Z,view,M,20s,app
U003266,2025-06-01T14:24:20Z,view,M,30s,app
U001489,2025-06-01T14:24:32Z,like,F,40s,app
U002476,2025-06-01T14:29:54Z,view,M,20s,app
U000819,2025-06-01T14:33:37Z,view,M,40s,app
U003066,2025-06-01T14:40:56Z,login,M,20s,web
U001255,2025-06-01T14:42:40Z,purchase,M,20s,app
U002968,2025-06-01T14:43:20Z,purchase,M,30s,web
U001156,2025-06-01T14:48:17Z,login,M,30s,app
U003751,2025-06-01T14:49:17Z,login,M,40s,app
U001569,2025-06-01T14:50:40Z,login,F,20s,web
U002255,2025-06-01T15:00:09Z,like,M,20s,app
U000993,2025-06-01T15:05:15Z,like,M,20s,app
U001042,2025-06-01T15:06:30Z,comment,M,10s,app
U002397,2025-06-01T15:06:36Z,view,M,20s,app
U000719,2025-06-01T15:10:48Z,login,F,20s,app
U002366,2025-06-01T15:13:18Z,view,M,30s,web
U002231,2025-06-01T15:16:40Z,comment,M,20s,web
U000512,2025-06-01T15:24:40Z,login,F,10s,web
U000517,2025-06-01T15:26:39Z,view,M,40s,web
U000337,2025-06-01T15:29:00Z,login,F,40s,app
U002818,2025-06-01T15:31:23Z,login,M,10s,web
U000130,2025-06-01T15:33:46Z,login,F,10s,app
U000732,2025-06-01T15:35:22Z,like,M,20s,web
U003579,2025-06-01T15:46:31Z,purchase,M,20s,app
U002354,2025-06-01T15:48:02Z,view,M,30s,app
U000362,2025-06-01T15:50:35Z,view,F,20s,web
U000855,2025-06-01T15:52:08Z,view,F,30s,app
U000722,2025-06-01T15:59:41Z,view,M,20s,web
U003448,2025-06-01T16:00:14Z,view,M,30s,app
U003379,2025-06-01T16:03:33Z,view,M,20s,web
U000468,2025-06-01T16:04:13Z,comment,F,40s,web
U002581,2025-06-01T16:04:38Z,login,M,40s,app
U002623,2025-06-01T16:04:59Z,view,M,20s,web
U002313,2025-06-01T16:07:38Z,like,F,30s,web
U000750,2025-06-01T16:11:19Z,view,F,20s,app
U001042,2025-06-01T16:12:38Z,view,M,10s,app
U000237,2025-06-01T16:12:59Z,login,F,20s,web
U001723,2025-06-01T16:14:25Z,login,M,40s,app
U003614,2025-06-01T16:26:08Z,login,F,20s,app
U002659,2025-06-01T16:26:48Z,login,F,30s,app
U000662,2025-06-01T16:29:13Z,login,M,20s,web
U001546,2025-06-01T16:29:53Z,view,M,20s,web
U001806,2025-06-01T16:34:41Z,purchase,F,40s,app
U002155,2025-06-01T16:37:19Z,login,M,20s,web
U002475,2025-06-01T16:37:31Z,purchase,F,20s,web
U002479,2025-06-01T16:40:30Z,view,M,30s,app
U002374,2025-06-01T16:43:00Z,login,F,20s,app
U000630,2025-06-01T16:43:02Z,like,F,40s,app
U000289,2025-06-01T16:44:11Z,like,M,10s,web
U001375,2025-06-01T16:44:37Z,purchase,F,30s,web
U002836,2025-06-01T16:47:46Z,view,M,30s,app
U002679,2025-06-01T16:50:19Z,view,F,40s,app
U002263,2025-06-01T16:50:32Z,comment,M,30s,app
U001322,2025-06-01T16:51:35Z,comment,M,40s,web
U000815,2025-06-01T16:56:59Z,view,M,30s,web
U003249,2025-06-01T17:01:56Z,view,F,40s,app
U001859,2025-06-01T17:05:33Z,view,M,40s,app
U003080,2025-06-01T17:12:06Z,like,F,40s,web
U001237,2025-06-01T17:24:05Z,comment,M,30s,app
U003823,2025-06-01T17:25:35Z,login,M,20s,app
U001667,2025-06-01T17:26:58Z,login,M,30s,web
U003611,2025-06-01T17:29:21Z,view,F,20s,app
U001900,2025-06-01T17:34:25Z,like,M,20s,web
U000737,2025-06-01T17:35:03Z,comment,F,20s,web
U001254,2025-06-01T17:35:16Z,view,F,20s,app
U001484,2025-06-01T17:36:42Z,login,F,20s,app
U000001,2025-06-01T17:36:56Z,view,F,30s,app
U002232,2025-06-01T17:37:18Z,view,M,50s,app
U002397,2025-06-01T17:38:33Z,view,M,20s,app
U000107,2025-06-01T17:41:26Z,like,F,30s,web
U002537,2025-06-01T17:43:19Z,login,F,20s,web
U001103,2025-06-01T17:45:07Z,purchase,M,30s,app
U002910,2025-06-01T17:46:23Z,view,F,30s,web
U000054,2025-06-01T17:46:52Z,login,M,20s,web
U003427,2025-06-01T17:51:36Z,comment,F,20s,app
U001312,2025-06-01T17:54:49Z,view,M,40s,web
U000604,2025-06-01T17:57:26Z,purchase,F,50s,web
U003956,2025-06-01T17:58:49Z,login,M,20s,web
U003090,2025-06-01T18:02:32Z,view,M,30s,app
U003978,2025-06-01T18:07:05Z,view,M,20s,app
U002255,2025-06-01T18:10:28Z,view,M,20s,app
U001911,2025-06-01T18:19:02Z,login,F,20s,app
U001996,2025-06-01T18:21:35Z,view,M,30s,app
U001977,2025-06-01T18:21:43Z,view,M,20s,app
U001603,2025-06-01T18:28:17Z,comment,F,30s,app
U001211,2025-06-01T18:29:53Z,login,M,30s,app
U002180,2025-06-01T18:30:40Z,login,F,20s,app
U001996,2025-06-01T18:32:15Z,login,M,30s,app
U002875,2025-06-01T18:36:50Z,view,F,20s,app
U002927,2025-06-01T18:39:43Z,view,M,10s,app
U000468,2025-06-01T18:40:58Z,view,F,40s,web
U002263,2025-06-01T18:50:23Z,view,M,30s,app
U002263,2025-06-01T18:54:19Z,view,M,30s,app
U003857,2025-06-01T18:55:37Z,login,M,30s,app
U003649,2025-06-01T19:00:09Z,comment,M,10s,app
U003922,2025-06-01T19:00:21Z,login,F,50s,app
U000800,2025-06-01T19:00:32Z,comment,M,20s,app
U001393,2025-06-01T19:00:48Z,view,M,20s,app
U002878,2025-06-01T19:12:12Z,view,F,30s,web
U000067,2025-06-01T19:15:26Z,view,F,20s,app
U000412,2025-06-01T19:16:04Z,view,M,50s,app
U003804,2025-06-01T19:20:58Z,login,M,30s,web
U001042,2025-06-01T19:21:30Z,login,M,10s,app
U003751,2025-06-01T19:22:44Z,view,M,40s,app
U000729,2025-06-01T19:28:26Z,login,M,10s,app
U001432,2025-06-01T19:34:41Z,login,F,40s,app
U000578,2025-06-01T19:37:04Z,login,M,10s,app
U003765,2025-06-01T19:38:29Z,view,M,30s,app
U001743,2025-06-01T19:42:24Z,view,F,20s,app
U000124,2025-06-01T19:42:40Z,view,F,40s,web
U001372,2025-06-01T19:43:59Z,view,M,20s,web
U000532,2025-06-01T19:45:06Z,view,F,20s,app
U003660,2025-06-01T19:49:56Z,login,F,20s,web
U003602,2025-06-01T19:52:05Z,login,F,50s,web
U002181,2025-06-01T19:53:52Z,login,M,20s,web
U002765,2025-06-01T20:02:05Z,purchase,F,50s,web
U000890,2025-06-01T20:04:31Z,view,M,20s,app
U002898,2025-06-01T20:05:45Z,like,F,20s,app
U001144,2025-06-01T20:10:19Z,like,M,40s,app
U000814,2025-06-01T20:14:03Z,login,F,20s,app
U000237,2025-06-01T20:15:24Z,like,F,20s,web
U001407,2025-06-01T20:18:26Z,view,M,20s,web
U002433,2025-06-01T20:20:14Z,login,M,30s,web
U002392,2025-06-01T20:25:06Z,login,F,40s,web
U003510,2025-06-01T20:27:40Z,view,M,20s,app
U003438,2025-06-01T20:37:27Z,login,F,20s,app
U003599,2025-06-01T20:39:11Z,view,M,20s,app
U002812,2025-06-01T20:42:13Z,login,M,30s,web
U000578,2025-06-01T20:44:17Z,login,M,10s,app
U001908,2025-06-01T20:44:56Z,login,M,40s,web
U002688,2025-06-01T20:55:11Z,view,M,20s,web
U000815,2025-06-01T21:00:43Z,login,M,30s,web
U002610,2025-06-01T21:02:00Z,view,F,30s,app
U003097,2025-06-01T21:04:25Z,view,M,20s,app
U003895,2025-06-01T21:10:06Z,purchase,M,40s,web
U000512,2025-06-01T21:13:20Z,like,F,10s,web
U002504,2025-06-01T21:14:07Z,login,F,30s,web
U002941,2025-06-01T21:15:57Z,view,F,30s,app
U003238,2025-06-01T21:22:29Z,login,M,30s,app
U001282,2025-06-01T21:27:04Z,purchase,F,50s,web
U001923,2025-06-01T21:30:49Z,login,F,30s,app
U001817,2025-06-01T21:32:19Z,login,M,20s,web
U003094,2025-06-01T21:33:35Z,view,M,40s,web
U003326,2025-06-01T21:36:38Z,login,F,20s,app
U001489,2025-06-01T21:37:44Z,login,F,40s,app
U002445,2025-06-01T21:44:00Z,comment,F,30s,app
U003774,2025-06-01T21:44:10Z,login,M,20s,app
U002020,2025-06-01T21:48:54Z,comment,F,10s,app
U004000,2025-06-01T21:54:58Z,view,F,30s,app
U003233,2025-06-01T22:03:33Z,login,M,20s,app
U001735,2025-06-01T22:06:33Z,view,M,20s,app
U003642,2025-06-01T22:07:10Z,view,M,40s,app
U000097,2025-06-01T22:08:54Z,comment,M,20s,app
U000329,2025-06-01T22:10:10Z,view,F,20s,app
U001801,2025-06-01T22:14:45Z,login,F,20s,app
U003804,2025-06-01T22:17:32Z,purchase,M,30s,web
U001888,2025-06-01T22:25:46Z,login,F,20s,app
U001993,2025-06-01T22:34:14Z,comment,M,30s,web
U002370,2025-06-01T22:35:40Z,login,M,40s,app
U002158,2025-06-01T22:36:10Z,view,F,40s,web
U002669,2025-06-01T22:50:19Z,view,M,20s,web
U003306,2025-06-01T22:52:26Z,view,M,20s,web
U003500,2025-06-01T22:52:39Z,like,M,50s,app
U001706,2025-06-01T22:54:15Z,view,F,40s,app
U001623,2025-06-01T22:54:52Z,login,M,20s,app
U002479,2025-06-01T22:55:07Z,purchase,M,30s,app
U001546,2025-06-01T23:06:05Z,login,M,20s,web
U002370,2025-06-01T23:09:24Z,login,M,40s,app
U001723,2025-06-01T23:19:31Z,like,M,40s,app
U002818,2025-06-01T23:20:37Z,login,M,10s,web
U000442,2025-06-01T23:29:47Z,login,F,30s,web
U002533,2025-06-01T23:33:19Z,view,F,20s,app
U001211,2025-06-01T23:33:48Z,view,M,30s,app
U001737,2025-06-01T23:36:27Z,login,M,30s,app
U002623,2025-06-01T23:36:59Z,view,M,20s,web
U000465,2025-06-01T23:43:53Z,view,M,20s,web
U000818,2025-06-01T23:46:59Z,purchase,F,30s,app
U003414,2025-06-01T23:50:05Z,login,M,20s,web
U003286,2025-06-01T23:51:16Z,view,M,20s,web
U002650,2025-06-01T23:52:09Z,login,F,50s,web
U001603,2025-06-01T23:52:52Z,login,F,30s,app
U002366,2025-06-01T23:53:01Z,login,M,30s,web
U003798,2025-06-01T23:55:22Z,view,M,20s,web
U000645,2025-06-01T23:57:45Z,login,M,40s,app
U000111,2025-06-01T23:58:43Z,view,M,20s,web
U002055,2025-06-02T08:13:31Z,login,F,40s,app
U003494,2025-06-02T08:19:45Z,login,F,20s,web
U003893,2025-06-02T08:33:18Z,login,M,40s,app
U000612,2025-06-02T08:37:40Z,view,M,30s,web
U003441,2025-06-02T08:44:14Z,login,F,20s,app
U000517,2025-06-02T08:46:22Z,view,M,40s,web
U001828,2025-06-02T08:52:37Z,purchase,F,30s,app
U002494,2025-06-02T08:56:05Z,login,F,20s,web
U002729,2025-06-02T08:56:26Z,login,M,40s,web
U003672,2025-06-02T08:58:45Z,view,M,10s,web
U001077,2025-06-02T08:59:18Z,login,M,30s,app
U001241,2025-06-02T09:00:40Z,like,M,30s,app
U003895,2025-06-02T09:05:32Z,view,M,40s,web
U001969,2025-06-02T09:08:14Z,view,F,20s,web
U000861,2025-06-02T09:10:51Z,view,M,30s,app
U002303,2025-06-02T09:14:59Z,view,M,60s,app
U000091,2025-06-02T09:20:12Z,login,M,40s,app
U003993,2025-06-02T09:28:20Z,view,F,20s,app
U002374,2025-06-02T09:29:05Z,purchase,F,20s,app
U001706,2025-06-02T09:36:05Z,view,F,40s,app
U003688,2025-06-02T09:36:22Z,comment,F,20s,app
U000369,2025-06-02T09:55:52Z,view,M,30s,web
U001752,2025-06-02T10:01:15Z,login,M,20s,web
U003614,2025-06-02T10:01:32Z,view,F,20s,app
U003888,2025-06-02T10:02:26Z,comment,F,30s,app
U003614,2025-06-02T10:15:43Z,like,F,20s,app
U001285,2025-06-02T10:15:48Z,login,M,30s,app
U003097,2025-06-02T10:22:13Z,purchase,M,20s,app
U000118,2025-06-02T10:22:59Z,login,F,20s,web
U001704,2025-06-02T10:24:44Z,view,F,50s,web
U003379,2025-06-02T10:25:29Z,comment,M,20s,web
U001303,2025-06-02T10:28:33Z,view,F,20s,web
U001306,2025-06-02T10:30:51Z,view,F,20s,web
U002374,2025-06-02T10:31:21Z,view,F,20s,app
U000278,2025-06-02T10:34:29Z,view,M,30s,web
U002385,2025-06-02T10:40:05Z,purchase,F,30s,app
U003925,2025-06-02T10:45:20Z,comment,F,30s,app
U000578,2025-06-02T10:46:07Z,view,M,10s,app
U001756,2025-06-02T10:50:32Z,purchase,M,30s,app
U001969,2025-06-02T10:54:29Z,login,F,20s,web
U001241,2025-06-02T10:59:45Z,view,M,30s,app
U003825,2025-06-02T11:03:25Z,comment,M,20s,app
U001813,2025-06-02T11:06:26Z,login,F,50s,app
U001498,2025-06-02T11:06:51Z,login,F,20s,web
U002694,2025-06-02T11:09:36Z,comment,M,20s,app
U000353,2025-06-02T11:13:11Z,login,M,20s,web
U002180,2025-06-02T11:16:04Z,login,F,20s,app
U001735,2025-06-02T11:25:17Z,login,M,20s,app
U000569,2025-06-02T11:28:56Z,view,F,30s,web
U000761,2025-06-02T11:30:09Z,login,M,20s,web
U001773,2025-06-02T11:35:22Z,view,M,20s,app
U003162,2025-06-02T11:40:04Z,login,F,40s,web
U003803,2025-06-02T11:44:33Z,comment,M,30s,app
U001042,2025-06-02T11:46:55Z,like,M,10s,app
U001947,2025-06-02T11:52:38Z,view,M,20s,app
U000845,2025-06-02T11:57:15Z,purchase,M,10s,web
U003642,2025-06-02T12:00:22Z,view,M,40s,app
U001478,2025-06-02T12:10:48Z,login,F,30s,web
U002303,2025-06-02T12:18:35Z,view,M,60s,app
U001498,2025-06-02T12:23:56Z,login,F,20s,web
U000270,2025-06-02T12:24:14Z,login,F,30s,web
U002545,2025-06-02T12:24:26Z,view,M,20s,web
U002605,2025-06-02T12:25:34Z,login,F,30s,app
U003379,2025-06-02T12:26:21Z,purchase,M,20s,web
U002968,2025-06-02T12:27:53Z,comment,M,30s,web
U003448,2025-06-02T12:30:50Z,like,M,30s,app
U002682,2025-06-02T12:34:06Z,login,M,20s,app
U001872,2025-06-02T12:35:24Z,view,M,60s,app
U001349,2025-06-02T12:38:48Z,view,F,20s,web
U001211,2025-06-02T12:39:31Z,comment,M,30s,app
U003197,2025-06-02T12:42:41Z,comment,M,20s,app
U002078,2025-06-02T12:43:31Z,view,M,30s,app
U002542,2025-06-02T12:44:27Z,login,F,20s,web
U000794,2025-06-02T12:44:57Z,login,M,30s,web
U003521,2025-06-02T12:46:00Z,view,F,20s,web
U003050,2025-06-02T12:48:51Z,view,F,40s,web
U001911,2025-06-02T12:49:28Z,login,F,20s,app
U002055,2025-06-02T12:58:02Z,comment,F,40s,app
U001667,2025-06-02T13:01:24Z,login,M,30s,web
U002533,2025-06-02T13:04:12Z,login,F,20s,app
U003603,2025-06-02T13:13:47Z,like,F,40s,app
U002736,2025-06-02T13:14:44Z,like,F,30s,web
U001827,2025-06-02T13:16:47Z,view,M,40s,web
U001700,2025-06-02T13:17:45Z,login,F,20s,app
U003492,2025-06-02T13:24:41Z,view,F,40s,app
U003091,2025-06-02T13:27:19Z,view,M,30s,app
U002842,2025-06-02T13:36:04Z,login,M,40s,app
U000865,2025-06-02T13:36:28Z,view,F,30s,app
U001092,2025-06-02T13:37:51Z,view,F,20s,app
U001903,2025-06-02T13:39:07Z,view,F,30s,web
U002067,2025-06-02T13:44:52Z,view,M,40s,app
U003149,2025-06-02T13:52:05Z,purchase,F,30s,app
U001127,2025-06-02T13:54:51Z,login,M,20s,web
U002973,2025-06-02T13:55:26Z,view,M,30s,web
U002694,2025-06-02T14:02:48Z,like,M,20s,app
U003989,2025-06-02T14:03:28Z,view,F,30s,web
U000819,2025-06-02T14:04:33Z,purchase,M,40s,app
U002184,2025-06-02T14:11:49Z,comment,F,30s,app
U000337,2025-06-02T14:15:08Z,login,F,40s,app
U001133,2025-06-02T14:16:42Z,view,M,10s,app
U002887,2025-06-02T14:17:04Z,view,M,30s,app
U001938,2025-06-02T14:20:14Z,view,M,40s,app
U002078,2025-06-02T14:28:10Z,login,M,30s,app
U001347,2025-06-02T14:34:53Z,comment,F,30s,app
U001801,2025-06-02T14:35:03Z,view,F,20s,app
U002015,2025-06-02T14:41:43Z,login,F,50s,web
U001241,2025-06-02T14:43:07Z,login,M,30s,app
U000517,2025-06-02T14:53:13Z,login,M,40s,web
U000901,2025-06-02T14:54:03Z,view,M,30s,app
U001484,2025-06-02T14:54:11Z,view,F,20s,app
U003251,2025-06-02T14:55:00Z,view,M,30s,app
U002906,2025-06-02T14:55:39Z,view,F,50s,app
U003823,2025-06-02T14:57:44Z,view,M,20s,app
U002254,2025-06-02T15:02:23Z,login,M,30s,app
U001751,2025-06-02T15:05:12Z,view,F,20s,app
U003664,2025-06-02T15:08:34Z,login,F,10s,app
U003286,2025-06-02T15:08:43Z,view,M,20s,web
U003500,2025-06-02T15:22:10Z,view,M,50s,app
U002650,2025-06-02T15:32:23Z,login,F,50s,web
U001187,2025-06-02T15:34:39Z,login,F,20s,web
U001985,2025-06-02T15:40:17Z,view,M,30s,app
U002485,2025-06-02T15:41:37Z,view,M,20s,app
U002255,2025-06-02T15:43:48Z,login,M,20s,app
U001143,2025-06-02T15:56:22Z,view,F,30s,app
U003785,2025-06-02T15:57:13Z,login,F,20s,app
U001422,2025-06-02T15:59:40Z,purchase,M,30s,app
U003621,2025-06-02T16:01:35Z,view,M,30s,web
U001594,2025-06-02T16:04:18Z,login,F,30s,app
U001217,2025-06-02T16:06:48Z,like,M,10s,app
U001961,2025-06-02T16:10:55Z,purchase,M,30s,app
U001723,2025-06-02T16:12:24Z,comment,M,40s,app
U003216,2025-06-02T16:12:45Z,login,M,20s,web
U001477,2025-06-02T16:13:25Z,view,M,20s,app
U001407,2025-06-02T16:17:37Z,login,M,20s,web
U002887,2025-06-02T16:22:14Z,comment,M,30s,app
U003249,2025-06-02T16:22:40Z,login,F,40s,app
U000576,2025-06-02T16:27:44Z,like,M,20s,web
U002574,2025-06-02T16:31:57Z,view,F,20s,app
U003888,2025-06-02T16:34:44Z,view,F,30s,app
U003266,2025-06-02T16:41:51Z,comment,M,30s,app
U001487,2025-06-02T16:42:30Z,login,F,30s,app
U001872,2025-06-02T16:52:27Z,view,M,60s,app
U003306,2025-06-02T16:54:23Z,view,M,20s,web
U001407,2025-06-02T16:54:55Z,login,M,20s,web
U002485,2025-06-02T16:59:48Z,view,M,20s,app
U000289,2025-06-02T17:10:30Z,login,M,10s,web
U003051,2025-06-02T17:13:07Z,view,F,20s,app
U001954,2025-06-02T17:17:02Z,login,F,20s,app
U003137,2025-06-02T17:17:09Z,like,F,20s,web
U002605,2025-06-02T17:19:20Z,view,F,30s,app
U002933,2025-06-02T17:21:38Z,view,F,30s,app
U002331,2025-06-02T17:29:55Z,view,M,30s,app
U000246,2025-06-02T17:30:04Z,login,F,30s,app
U001954,2025-06-02T17:35:19Z,purchase,F,20s,app
U002158,2025-06-02T17:44:21Z,like,F,40s,web
U004000,2025-06-02T17:46:03Z,login,F,30s,app
U003683,2025-06-02T17:47:05Z,view,F,30s,app
U003579,2025-06-02T17:50:57Z,like,M,20s,app
U000631,2025-06-02T17:51:06Z,view,M,30s,web
U001700,2025-06-02T17:51:13Z,view,F,20s,app
U000372,2025-06-02T17:52:04Z,view,F,20s,web
U001255,2025-06-02T17:52:40Z,view,M,20s,app
U002397,2025-06-02T17:56:40Z,view,M,20s,app
U001360,2025-06-02T17:57:30Z,view,F,40s,web
U000647,2025-06-02T17:57:46Z,login,M,20s,app
U001952,2025-06-02T17:57:52Z,login,M,40s,app
U003895,2025-06-02T17:58:58Z,purchase,M,40s,web
U001157,2025-06-02T18:01:11Z,comment,F,60s,app
U002694,2025-06-02T18:02:07Z,view,M,20s,app
U002313,2025-06-02T18:06:30Z,view,F,30s,web
U001943,2025-06-02T18:07:54Z,login,F,20s,app
U002158,2025-06-02T18:11:11Z,login,F,40s,web
U001510,2025-06-02T18:20:45Z,comment,M,30s,web
U001337,2025-06-02T18:21:29Z,view,F,40s,app
U003286,2025-06-02T18:25:50Z,login,M,20s,web
U001603,2025-06-02T18:25:58Z,login,F,30s,app
U002679,2025-06-02T18:27:41Z,login,F,40s,app
U003133,2025-06-02T18:39:58Z,login,F,30s,app
U000578,2025-06-02T18:40:10Z,view,M,10s,app
U003961,2025-06-02T18:42:10Z,view,F,30s,app
U003142,2025-06-02T18:44:08Z,login,M,30s,app
U000528,2025-06-02T18:48:30Z,login,M,30s,web
U000159,2025-06-02T18:49:12Z,login,M,20s,web
U000726,2025-06-02T18:53:46Z,view,F,40s,app
U003681,2025-06-02T18:56:57Z,login,F,30s,web
U001943,2025-06-02T18:57:19Z,view,F,20s,app
U001864,2025-06-02T18:58:37Z,comment,F,40s,web
U003103,2025-06-02T18:58:55Z,like,M,30s,app
U000903,2025-06-02T18:59:43Z,comment,F,30s,app
U002929,2025-06-02T19:00:49Z,view,F,40s,app
U001817,2025-06-02T19:02:50Z,comment,M,20s,web
U002322,2025-06-02T19:05:04Z,login,M,30s,web
U000287,2025-06-02T19:08:31Z,view,F,30s,web
